code,description,category,critical
"1A","Unpasteurized milk and milk products used","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"1B","Water/ice: unsafe, unapproved sources, cross connections","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"1C","Home canned goods, or canned goods from unapproved processor found on premises","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"1D","Canned goods found in poor condition (Leakers, severe dents, rusty, swollen cans)","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"1E","Meat and meat products not from approved plants","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"1F","Shellfish not from approved sources, improperly tagged/labeled, tags not retained 90 days","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"1G","Cracked/dirty fresh eggs, liquid or frozen eggs and powdered eggs not pasteurized","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"1H","Food from unapproved source, spoiled, adulterated on premises","FOODS ADULTERATED OR RECEIVED FROM UNAPPROVED SOURCES",critical
"2A","Prepared food products, contact equipment or work surfaces which have had prior contact with raw foods and where washing and sanitizing of the food contact surface has not occurred to prevent contamination","FOODS NOT PROTECTED FROM CONTAMINATION, TEMPERATURES NOT MEASURED",critical
"2B","Food workers prepare raw and cooked or ready to eat food products without thorough handwashing and sanitary glove changing in between","FOODS NOT PROTECTED FROM CONTAMINATION, TEMPERATURES NOT MEASURED",critical
"2C","Cooked or prepared foods are subjected to cross-contamination from raw foods","FOODS NOT PROTECTED FROM CONTAMINATION, TEMPERATURES NOT MEASURED",critical
"2D","Unwrapped/potentially hazardous foods are reserved","FOODS NOT PROTECTED FROM CONTAMINATION, TEMPERATURES NOT MEASURED",critical
"2E","Accurate thermometer not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding","FOODS NOT PROTECTED FROM CONTAMINATION, TEMPERATURES NOT MEASURED",critical
"3A","Food workers prepare foods when ill with a disease transmissible by foods such as: diarrhea (stomach flu), hepatitis, acute respiratory infection, vomiting or have infected cuts or burns on their hands","FOODS NOT PROTECTED FROM CONTAMINATION BY WORKERS",critical
"3B","Food workers do not wash hands thoroughly (generate lather) after visiting the toilet, coughing, sneezing, smoking or otherwise contaminating their hands","FOODS NOT PROTECTED FROM CONTAMINATION BY WORKERS",critical
"3C","Food workers do not use proper utensils (tongs, spoons, spatulas, sanitary gloves) to eliminate bare hand contact with cooked or prepared foods","FOODS NOT PROTECTED FROM CONTAMINATION BY WORKERS",critical
"4A","Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur","FOODS NOT PROTECTED FROM CONTAMINATION BY OTHER SOURCES",critical
"4B","Acid foods are stored in containers or pipes that consist of toxic metals (antimony, cadmium, copper, zinc, lead)","FOODS NOT PROTECTED FROM CONTAMINATION BY OTHER SOURCES",critical
"4C","Foods or food area/public area contaminated by sewage or drippage from waste lines","FOODS NOT PROTECTED FROM CONTAMINATION BY OTHER SOURCES",critical
"5A","Potentially hazardous foods are not kept at or below 45°F during cold holding, except smoked fish not kept at or below 38°F during cold holding",
"5B","Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120°F to 70°F or less within two hours and 70°F to 45°F within four hours. (Potentially hazardous foods that are cooling may be uncovered during the cooling period)","IMPROPER COOLING AND REFRIGERATED STORAGE OF POTENTIALLY HAZARDOUS FOODS",critical
"5C","Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures","IMPROPER COOLING AND REFRIGERATED STORAGE OF POTENTIALLY HAZARDOUS FOODS",critical
"5D","Potentially hazardous foods such as salads prepared from potatoes or macaroni are not prepared as recommended using prechilled ingredients and are not prechilled to 45°F or less as recommended before they are stored on buffet lines","IMPROPER COOLING AND REFRIGERATED STORAGE OF POTENTIALLY HAZARDOUS FOODS",critical
"5E","Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45°F as required","IMPROPER COOLING AND REFRIGERATED STORAGE OF POTENTIALLY HAZARDOUS FOODS",critical
"6A"," Potentially hazardous foods are not kept at or above 140°F during hot holding","IMPROPER HOT HOLDING OF POTENTIALLY HAZARDOUS FOODS",critical
"6B","Enough hot holding equipment is not present, properly designed, maintained and operated to keep hot foods above 140oF","IMPROPER HOT HOLDING OF POTENTIALLY HAZARDOUS FOODS",critical
"7A","All poultry, poultry stuffing, stuffed meats and stuffings containing meat are not heated to 165°F or above","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"7B","All pork or any foods containing pork are not heated to 150°F or above","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"7C","All shell eggs or foods containing shell eggs are not heated to 145°F or above except by consumer request","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"7D","All ground meat and foods containing ground meat are not heated to 158°F or above except by consumer request","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"7E","Other potentially hazardous foods requiring cooking are not heated to 140°F or above","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"7F","Precooked, refrigerated, potentially hazardous foods are not reheated to 165°F or above within two hours","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"7G","Commercially processed, precooked potentially hazardous foods are not heated to 140°F or above within two hours","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"7H","Whole frozen poultry or poultry breasts, other than a single portion, are being cooked frozen or partially thawed","INADEQUATE COOKING AND REHEATING OF POTENTIALLY HAZARDOUS FOODS",critical
"8A","Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)","FOOD NOT PROTECTED IN GENERAL",noncritical
"8B","In use food dispensing utensils improperly stored","FOOD NOT PROTECTED IN GENERAL",noncritical
"8C","Improper use and storage of clean, sanitized equipment and utensils","FOOD NOT PROTECTED IN GENERAL",noncritical
"8D","Single service items reused, improperly stored, dispensed, not used when required","FOOD NOT PROTECTED IN GENERAL",noncritical
"8E","Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures","FOOD NOT PROTECTED IN GENERAL",noncritical
"8F","Improper thawing procedures used","FOOD NOT PROTECTED IN GENERAL",noncritical
"8G","Raw foods not properly washed prior to serving","FOOD NOT PROTECTED IN GENERAL",noncritical
