County,Department,Phone,Fax,Website
Albany County,Albany County Department of Health,518-447-4580,518-447-4698,https://www.albanycounty.com/departments/health
Allegany County,Allegany County Department of Health,585-268-9250,585-268-9264,http://www.alleganyco.gov/departments/health/
Broome County,Broome County Health Department,607-778-3930,607-778-2838,https://broomecountyny.gov/hd
Cattaraugus County,Cattaraugus County Health Department,716-373-8050,716-701-3737,http://www.cattco.org/health
Cayuga County,Cayuga County Health Department,315-253-1560,315-253-1156,https://www.cayugacounty.us/
Chautauqua County,Chautauqua County Health Department,716-753-4082,716-753-9726,https://chqgov.com/public-health/public-health
Chemung County,Chemung County Health Department,607-737-2028,607-737-3576,http://www.chemungcountyhealth.org
Chenango County,Chenango County Health Department,607-337-1660,607-337-1720,https://www.chenangocountyny.gov/
Clinton County,Clinton County Department of Health,518-565-4840,518-565-4717,https://health.clintoncountyny.gov
Columbia County,Columbia County Department of Health,518-828-3358,518-828-5894,https://www.columbiacountynyhealth.com/
Cortland County,Cortland County Health Department,607-753-5036,607-753-5209,https://www.cortland-co.org/432/Health-Department
Delaware County,Delaware County Public Health Services,607-832-5200,607-832-6021,http://delawarecountypublichealth.com/
Dutchess County,Dutchess County Department of Health,845-486-3432,845-486-3448,https://www.dutchessny.gov/health
Erie County,Erie County Department of Health,716-858-7690,716-858-8701,https://www3.erie.gov/health/
Essex County,Essex County Health Department,518-873-3500,518-873-3507,http://www.co.essex.ny.us/Health
Franklin County,Franklin County Public Health Services,518-481-1710,518-481-1108,https://www.franklincountyny.gov/departments/human_services/
Fulton County,Fulton County Public Health Department,518-736-5720,518-762-1382,http://www.fultoncountyny.gov/public-health
Genesee County,Genesee County Public Health Department,585-344-2580,585-345-3064,https://gohealthny.org/
Greene County,Greene County Public Health Department,518-719-3600,518-719-3781,https://www.greenegovernment.com/departments/public-health
Hamilton County,Hamilton County Public Health Nursing Service,518-648-6497,518-648-6143,https://www.hamiltoncounty.com/health-human-services/public-health-home
Herkimer County,Herkimer County Public Health Nursing Service,315-867-1176,315-867-1444,https://www.herkimercounty.org/departments/public-health/
Jefferson County,Jefferson County Public Health Service,315-786-3710,315-786-3761,https://www.jeffersoncountyny.gov/departments/PublicHealth
Lewis County,Lewis County Public Health,315-376-5453,315-376-7013,https://www.lewiscounty.org
Livingston County,Livingston County Department of Health,585-243-7270,585-243-7287,http://www.co.livingston.state.ny.us/172/Department-of-Health
Madison County,Madison County Public Health,315-366-2361,315-366-2697,https://www.madisoncounty.ny.gov/206/Health-Department
Monroe County,Monroe County Department of Public Health,585-753-2991,585-753-5115,https://www.monroecounty.gov/health
Montgomery County,Montgomery County Public Health Department,518-853-3531,518-853-8218,https://www.co.montgomery.ny.us/web/sites/departments/publichealth/
Nassau County,Nassau County Department of Health,516-227-9500,516-227-9696,https://www.nassaucountyny.gov/agencies/Health/index.html
New York City,New York City Department of Health and Mental Hygiene,347-396-4100,,http://www1.nyc.gov/site/doh/index.page
Niagara County,Niagara County Department of Health,716-439-7435,716-278-1936,http://www.niagaracounty.gov/Health
Oneida County,Oneida County Health Department,315-798-6400,,http://oneidacountyny.gov/oneida/health
Onondaga County,Onondaga County Health Department,315-435-3155,315-435-5720,http://www.ongov.net/health/index.html
Ontario County,Ontario County Public Health,585-396-4343,585-396-4551,https://ontariocountyny.gov/101/Public-Health
Orange County,Orange County Health Department,845-360-6600,845-291-2341,https://www.orangecountygov.com/149/Health
Orleans County,Orleans County Health Department,585-589-3278,585-589-2873,https://gohealthny.org/
Oswego County,Oswego County Health Department,315-349-3540,315-349-3435,https://health.oswegocounty.com/
Otsego County,Otsego County Health Department,607-547-4230,607-547-4385,https://www.otsegocountyny.gov
Putnam County,Putnam County Health Department,845-808-1390,845-278-7921,http://www.putnamcountyny.com/health/
Rensselaer County,Rensselaer County Department of Health,518-270-2655,518-270-2638,https://www.rensco.com/241/Public-Health
Rockland County,Rockland County Department of Health,845-364-2513,845-364-2628,http://rocklandgov.com/departments/health
Saratoga County,Saratoga County Department of Health,518-584-7460,,https://saratogacountyny.gov/departments/health
Schenectady County,Schenectady County Public Health Services,518-386-2824,518-382-5418,https://www.schenectadycountyny.gov/public-health
Schoharie County,Schoharie County Department of Health,518-295-8365,518-295-8786,https://www4.schohariecounty-ny.gov/departments/public-health/
Schuyler County,Schuyler County Public Health,607-535-8140,607-535-8157,http://www.schuylercounty.us/publichealth
Seneca County,Seneca County Health Department,315-539-1920,315-539-9493,https://senecacountyhealthny.gov
St. Lawrence County,St. Lawrence County Public Health Department,315-386-2325,315-386-2744,https://stlawco.gov/Departments/PublicHealth
Steuben County,Steuben County Public Health,607-664-2438,607-664-2166,https://www.steubencountyny.gov/273/Public-Health
Suffolk County,Suffolk County Department of Health Services,631-854-0000,631-854-0108,http://www.suffolkcountyny.gov/departments/healthservices.aspx
Sullivan County,Sullivan County Department of Health,845-292-5910,845-513-2276,https://www.sullivanny.gov/Departments/Publichealth
Tioga County,Tioga County Public Health Department,607-687-8600,607-223-7019,http://www.tiogacountyny.com/departments/public-health/
Tompkins County,Tompkins County Whole Health,607-274-6600,607-274-6680,http://www.tompkinscountyny.gov/health
Ulster County,Ulster County Department of Health,845-340-3150,845-334-8337,http://ulstercountyny.gov/health/health
Warren County,Warren County Health Services,518-761-6580,518-761-6422,http://www.warrencountyny.gov/healthservices/
Washington County,Washington County Public Health Services,518-746-2400,518-746-2461,https://www.washingtoncountyny.gov/292/Public-Health-Nursing
Wayne County,Wayne County Public Health,315-946-5749,315-946-5762,https://www.wcphny.com/
Westchester County,Westchester County Department of Health,914-813-5000,914-813-5003,http://health.westchestergov.com/
Wyoming County,Wyoming County Health Department,585-786-8890,585-786-3537,https://www.wyomingcountyny.gov/203/Health-Department
Yates County,Yates County Public Health,315-536-5160,315-536-5146,https://www.yatescounty.org/211/Public-Health
